block_type,opcodes,constants,concrete_values,memory_pattern,dataflow_edges,instruction_count,callee_names,string_refs,count
BODY,0.9346698872785829,0.9162549230218403,0.7976742132667387,,0.9859266540793004,0.9606264592042119,0.7555555555555555,0.5172413793103449,690
BOUNDS_CHECK,0.980848861283644,0.9883720930232558,0.881841432225064,,0.9947394539218709,0.9884187370600416,,1.0,322
EPILOGUE,0.8476190476190475,0.5714285714285714,0.8333333333333334,,0.9819507572806733,0.9477124183006536,,,17
ITERATOR_STATE,1.0,0.9523809523809523,1.0,,1.0,1.0,,,29
LOOP_HEADER,0.9629032258064517,1.0,0.8596825396825397,,0.9894122734030122,0.948688945463139,1.0,0.5,62
PROLOGUE,,,,,1.0,1.0,,,4
