tier,num_functions,opcodes,constants,concrete_values,memory_pattern,dataflow_edges,instruction_count,callee_names,string_refs
high (>0.7),56,0.9941378363536517,0.9905679012345678,0.9170468888165517,,0.9967968968297222,0.9947651819846173,0.9230769230769231,0.7142857142857143
medium (0.4-0.7),6,0.6102380952380952,0.125,0.1818295739348371,,0.9118470432767467,0.6296291208791209,0.0,0.0
low (<0.4),0,,,,,,,,
