feature,total_pairs,%STABLE,%DEGRADED,%DESTROYED,%EMPTY,mean_similarity
opcodes,615,92.19512195121952,4.0650406504065035,3.2520325203252036,0.4878048780487805,0.9485722066604418
constants,615,41.951219512195124,0.3252032520325203,3.2520325203252036,54.47154471544715,0.925297619047619
concrete_values,615,0.0,0.0,0.0,100.0,0.0
memory_pattern,615,0.0,0.0,0.0,100.0,0.0
dataflow_edges,615,0.0,0.0,0.0,100.0,0.0
instruction_count,615,95.28455284552845,3.577235772357724,1.1382113821138211,0.0,0.9681628203335897
callee_names,615,0.0,0.0,0.0,100.0,0.0
string_refs,615,0.0,0.0,0.0,100.0,0.0
