,CONSTANTS,CONCRETE_VALUES,OPCODE_HISTOGRAM,MEMORY_PATTERN,DATAFLOW_EDGES,CFG_WEIGHTS,CALLEE_NAMES,CFG_SHAPE,STRING_REFS
CONSTANTS,0.5087719298245614,0.0,0.00877192982456143,0.0,0.0,0.07017543859649122,0.0,0.06140350877192979,0.0
CONCRETE_VALUES,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPCODE_HISTOGRAM,0.00877192982456143,0.0,0.631578947368421,0.0,0.0,0.0,0.0,-0.00877192982456132,0.0
MEMORY_PATTERN,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0
DATAFLOW_EDGES,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0
CFG_WEIGHTS,0.07017543859649122,0.0,0.0,0.0,0.0,0.3508771929824561,0.0,0.02631578947368418,0.0
CALLEE_NAMES,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0
CFG_SHAPE,0.06140350877192979,0.0,-0.00877192982456132,0.0,0.0,0.02631578947368418,0.0,0.4473684210526316,0.0
STRING_REFS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403
